admin_level,geo_admin0,adm0,geo_admin1,name,mean,l,u,pmean,ci95,pu,pl,psd
ADM1,pk,Pakistan,70912109B87910883258301,Sindh,3675721,1511131,4701795,6.194997583859234,21.938512301434297,7.933850238615717,2.308939409137879,5.989361476857458
ADM1,ps,Palestine,83478781B28849486138516,West Bank,119516,62070,150616,3.951305505450021,10.486222783162424,4.987368294930926,2.051637006173022,2.828671765523981
ADM1,ps,Palestine,83478781B7121896376882,Gaza,103682,51865,133026,4.643957476383283,12.734231589682684,5.924662866529235,2.324172213828967,3.4306242058158936
ADM1,sa,Saudi Arabia,25081817B18223128367115,Tabuk Region,5603,2350,6994,0.7304988310518632,2.5257913367766123,0.9081972432163148,0.29327480626456837,0.7309598182181233
ADM1,sa,Saudi Arabia,25081817B20721508406931,Eastern Region,223360,108284,284635,3.771648505918269,11.447864278590824,4.790493508079449,1.7295295171309857,3.1114994575523203
ADM1,sa,Saudi Arabia,25081817B30843703179747,Hayel Region,260,94,342,0.05089888738123049,0.1579448825779282,0.06340140904727498,0.02327212651377745,0.0445430641070623
ADM1,sa,Saudi Arabia,25081817B33362813788237,Makkah Region,131299,65843,165505,1.2807198443539027,3.614644431618023,1.6130371884445,0.6338017829189148,0.9913003455153832
ADM1,sa,Saudi Arabia,25081817B54479367627811,Najran Region,2661,1038,3243,0.3878719868577784,1.3551038512497513,0.47522801899770933,0.15555577566476206,0.4036931132022624
ADM1,sa,Saudi Arabia,25081817B56088895138556,Riyadh Region,177609,83970,223871,1.413791117469424,4.559344159816773,1.772839566168657,0.613843525521317,1.2792063592686171
ADM1,sa,Saudi Arabia,25081817B5742042673291,Al Jawf Region,3147,1511,3944,0.3825700029757338,1.124728428328406,0.4790585677226019,0.18349487252610897,0.3122924945093874
ADM1,sa,Saudi Arabia,25081817B61333239611232,Northern Borders Region,2631,1076,3254,0.6030115938382941,2.009306040568056,0.7500940004276945,0.25491125677491616,0.5675783855634768
ADM1,sa,Saudi Arabia,25081817B7022046803940,Jazan Region,46294,24152,58613,3.131629237346239,8.252703425625425,3.9739407741614174,1.6254069062594132,2.222413965568936
ADM1,sa,Saudi Arabia,25081817B79414847265706,'Asir Region,23025,12302,28863,0.703358331989824,1.885599210005484,0.8830584159819352,0.3643054236321479,0.5159333032762456
ADM1,sa,Saudi Arabia,25081817B90917209203250,Al Bahah Region,3478,1824,4403,1.179825010240331,3.139951826753896,1.486499672797032,0.6138502024440765,0.8563377054316881
ADM1,sa,Saudi Arabia,25081817B98761102949945,Al-Qassim Region,3294,1647,4165,0.2249723134945339,0.6360202076683872,0.281813173468485,0.1116756707689293,0.17579880562755945
ADM1,sa,Saudi Arabia,25081817B99882732185538,Al Madinah Region,8306,4005,10463,0.4048274438841803,1.2108148742135838,0.5063400890992705,0.19090109127745436,0.3382118328961712
ADM1,th,Thailand,36821470B10823236588148,Nong Khai Province,9386,3363,11555,2.3728090543271496,9.00493528492099,2.9263449097581145,0.8509861075094064,2.5720517636312747
ADM1,th,Thailand,36821470B13392591504269,Ang Thong Province,4193,1879,5314,1.8220340757809583,5.619374345050009,2.305309547220565,0.8124856264219563,1.574038803642105
ADM1,th,Thailand,36821470B14521381139968,Phra Nakhon Si Ayutthaya Province,17690,8146,22295,1.7285343960905986,5.334526264282506,2.170894116908143,0.7874851473301596,1.4738802013077532
ADM1,th,Thailand,36821470B19044788830326,Sukhothai Province,17474,8002,22047,2.879000876805619,8.98735958044506,3.632340674959938,1.2876074739998036,2.4948736998831698
ADM1,th,Thailand,36821470B19154773544216,Phrae Province,10984,4286,13773,3.1806257531305047,11.324801524134893,3.9798203723461096,1.2180027166893506,3.2325755502747353
ADM1,th,Thailand,36821470B19626602766038,Yala Province,21381,9017,27346,5.272414410453118,17.1646184729252,6.766179926327808,2.1918857959415377,4.66141050924251
ADM1,th,Thailand,36821470B20681874570031,Uthai Thani Province,5939,2497,7491,2.469946635020408,8.29689517268633,3.111150187641491,1.0210303368858014,2.295280890434078
ADM1,th,Thailand,36821470B20711037055676,Samut Prakan Province,50912,24305,64438,1.6486391874051138,4.884499669080504,2.086020148382663,0.7764830308374505,1.340150984109422
ADM1,th,Thailand,36821470B21153437012109,Tak Province,20607,8486,25960,3.667914026322086,12.49016084987791,4.606341003641584,1.499670352949251,3.4621898802797317
ADM1,th,Thailand,36821470B21581797364135,Sa Kaeo Province,7990,3915,10049,1.3586562651647616,3.93974160403316,1.708094629846859,0.6590752967520944,1.0763711866828212
